sample_id,coupang_product_id,iherb_product_code,coupang_product_name,iherb_product_name,original_similarity_score,coupang_image_path,iherb_image_path,both_images_available,processed_at,image_comparison_success,image_match_result,image_match_reason,coupang_ocr_text,iherb_ocr_text,coupang_extracted_fields,iherb_extracted_fields
40,3272576656,NOW-07570,"나우푸드 퓨어 에센셜 아로마오일 오렌지, 30ml","NOW Foods, Essential Oils, Orange, 1 fl oz (30 ml)",0.891,../coupang_images/coupang_3272576656.jpg,image_experiment_results/iherb_images/iherb_40_NOW-07570.jpg,True,2025-09-09T12:22:35.003234,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"eential.osh
100%pure
orange

now
exsensialovls

G
.

orange
","j

7
PTT
ole
essentialoils
7 4
mc 4
g aa
eee
ep)
. i
100%pure
Orange
Cittussinensis i
11.oz.(30mL) 4

now
essentialoils
100%pure
Orange
Citrussinensis
1fl.o2.(30mt
","Fields(brand='now foods', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='now foods', core='', strength='4 g', form='', count='', strength_val=4.0, strength_unit='g')"
41,3272570501,NOW-07576,"나우푸드 퓨어 에센셜 아로마오일 파출리, 30ml","NOW Foods, Essential Oils, Neroli, 1 fl oz (30 ml)",0.717,,image_experiment_results/iherb_images/iherb_41_NOW-07576.jpg,False,2025-09-09T12:22:44.008615,,,,,,,
42,3392995041,NOW-07545,"나우푸드 에센셜 아로마오일 유칼립투스, 118ml","NOW Foods, Essential Oils, Eucalyptus, 1 fl oz (30 ml)",0.345,,image_experiment_results/iherb_images/iherb_42_NOW-07545.jpg,False,2025-09-09T12:22:50.772367,,,,,,,
43,3143424306,NOW-04703,"나우푸드 그라비올라 500mg 베지 캡슐 비건 글루텐 프리, 100정","NOW Foods, Graviola, 500 mg, 100 Veg Capsules",0.738,../coupang_images/coupang_3143424306.jpg,image_experiment_results/iherb_images/iherb_43_NOW-04703.jpg,True,2025-09-09T12:22:57.787205,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"eS
(ase

.AoUw
toe
Graviola
500mg .
et
","a
T4
He
YCranfol
Ry

ney
1 % Bey
ed
Graviola
500mg
HealthyCellFunction
Dyce) FreeRadicalScavenger
to 100V I
Mneacytgdeepeern
","Fields(brand='', core='', strength='500 mg', form='', count='', strength_val=500.0, strength_unit='mg')","Fields(brand='', core='', strength='500 mg', form='', count='', strength_val=500.0, strength_unit='mg')"
44,3085663865,NOW-02008,"나우푸드 베타 알라닌 750mg 베지 캡슐, 120정","NOW Foods, Sports, Beta-Alanine, Endurance, 750 mg, 120 Veg Capsules",0.767,../coupang_images/coupang_3085663865.jpg,image_experiment_results/iherb_images/iherb_44_NOW-02008.jpg,True,2025-09-09T12:23:04.440045,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"(ss)
AY
BETA
ALANINE

EHIURAACES a
Bee
SExeRavesCaPsues975
Sv

","BETAj
ALANINE
ReaeICaNa

eae
i
noe
j S Ss
BETA
ST.
eves a
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)"
45,3086572412,NOW-00068,"나우푸드 TMG 베타인 1000mg 타블렛, 100정","NOW Foods, L-Carnitine, 1000 mg, 100 Tablets",0.737,../coupang_images/coupang_3086572412.jpg,image_experiment_results/iherb_images/iherb_45_NOW-00068.jpg,True,2025-09-09T12:23:11.094892,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"a
a sf now
2p

TNVIGH
a

Betaine-1.000m9
100Tablets
","T.-Y
(- ba
eyonou4

4U-Carnitineme
(ees)
PurestForm Snes os

74 e
id
be
me) e nem su
We f
at ne es
e . od
S I
t me
5 . .
wyL-Carnitine
I 1000mg
PurestForm.ClinicallyTested
FitnessSupport
+BoostsCellul...","Fields(brand='now foods', core='', strength='', form='', count='100 tablets', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='1000 mg', form='', count='100 tablets', strength_val=1000.0, strength_unit='mg')"
46,3265963332,NOW-07612,"나우푸드 에센셜 방향아로마오일 프로텍티브 블렌드, Nature's Shield","NOW Foods, Essential Oils, Nature's Shield, 1 fl oz (30 ml)",0.79,../coupang_images/coupang_3265963332.jpg,image_experiment_results/iherb_images/iherb_46_NOW-07612.jpg,True,2025-09-09T12:23:17.867453,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"Shield

Natures
oe
","a
four.
essentialoils
( vo

SS We
oY. ees.
Protectiveblend 4

j 1H02.(30mt)

essentialoils
-

t
Natures
Shield
Protectiveblend
","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)","Fields(brand='', core='', strength='', form='', count='', strength_val=None, strength_unit=None)"
47,5118210369,NOW-03016,"나우푸드 엑스트라 스트렝스 비오틴 베지 캡슐, 120정","NOW Foods, Celadrin & MSM, 120 Capsules",0.72,../coupang_images/coupang_5118210369.jpg,image_experiment_results/iherb_images/iherb_47_NOW-03016.jpg,True,2025-09-09T12:23:26.984056,True,True,텍스트 충돌 없음(브랜드/계열/함량/제형/수량 기준),"(A
ee

ea
7.

i ExtreStrength
Biotin
19mg(10.000mes
ad
","(

i 8

8 io

SS 3
BO) UE Celad ie

ee
5
j aw f
%
bi
9 Nes e
Se 3
Celadrin
2
MSM
AdvancedJointSupport
+SupportsJointMobility
+500mgCeladrin
Ayer 120Capsules
NEE ADietarySupplement
","Fields(brand='', core='', strength='19 mg', form='', count='', strength_val=19.0, strength_unit='mg')","Fields(brand='', core='', strength='', form='', count='120 capsules', strength_val=None, strength_unit=None)"
48,3214901309,NOW-07595,"나우푸드 퓨어 & 내추럴 로즈 힙 시드 오일, 30ml","NOW Foods, Solutions, Rose Hip Seed Oil, 1 fl oz (30 ml)",0.792,,image_experiment_results/iherb_images/iherb_48_NOW-07595.jpg,False,2025-09-09T12:23:34.793220,,,,,,,
49,70393847161,LEX-23106,"나우푸드 블랙 쿠민 씨드 오일 1000mg 소프트젤, 60정","Life Extension, Black Cumin Seed Oil and Curcumin Elite™, 60 Softgels",0.32,,image_experiment_results/iherb_images/iherb_49_LEX-23106.jpg,False,2025-09-09T12:23:42.694968,,,,,,,
50,4722785945,NCS-67937,"뉴트리코스트 L-테아닌 200mg 캡슐, 120정","Nutricost, L-Theanine, 200 mg, 120 Capsules",0.787,,image_experiment_results/iherb_images/iherb_50_NCS-67937.jpg,False,2025-09-09T12:23:50.396751,,,,,,,
